run,transition,source,destination,routeOccurrence,strictMs,strictFrames,renderFrames,renderRetries,referenceRun,referenceTransition,strictDeltaMs,renderDeltaFrames,assessment,historicalTransitionComparison,compiledSource,buildId
1,11,WindhelmExterior01,WhiterunDragonsreach,6,2535.6872,30,22,0,1,11,0.0,0,"INCONCLUSIVE: same route occurrence, sequential scene/loading history differs",unavailable: selected historical columns retain no per-transition COC strict timing or render-latch value,3baaf91b90416ad25d067cdb26c34ce293cf7a5e,5c8dfa4c9f482d14faf6cf82e06455724d317eda840b3a59db1baba961660d25
1,12,WhiterunDragonsreach,WindhelmExterior01,6,1975.9134,73,70,0,1,12,0.0,0,"INCONCLUSIVE: same route occurrence, sequential scene/loading history differs",unavailable: selected historical columns retain no per-transition COC strict timing or render-latch value,3baaf91b90416ad25d067cdb26c34ce293cf7a5e,5c8dfa4c9f482d14faf6cf82e06455724d317eda840b3a59db1baba961660d25
1,13,WindhelmExterior01,WhiterunDragonsreach,7,2620.8157,29,20,0,1,13,0.0,0,"INCONCLUSIVE: same route occurrence, sequential scene/loading history differs",unavailable: selected historical columns retain no per-transition COC strict timing or render-latch value,3baaf91b90416ad25d067cdb26c34ce293cf7a5e,5c8dfa4c9f482d14faf6cf82e06455724d317eda840b3a59db1baba961660d25
1,14,WhiterunDragonsreach,WindhelmExterior01,7,1967.587,67,64,0,1,14,0.0,0,"INCONCLUSIVE: same route occurrence, sequential scene/loading history differs",unavailable: selected historical columns retain no per-transition COC strict timing or render-latch value,3baaf91b90416ad25d067cdb26c34ce293cf7a5e,5c8dfa4c9f482d14faf6cf82e06455724d317eda840b3a59db1baba961660d25
1,15,WindhelmExterior01,WhiterunDragonsreach,8,2459.3395,31,22,0,1,15,0.0,0,"INCONCLUSIVE: same route occurrence, sequential scene/loading history differs",unavailable: selected historical columns retain no per-transition COC strict timing or render-latch value,3baaf91b90416ad25d067cdb26c34ce293cf7a5e,5c8dfa4c9f482d14faf6cf82e06455724d317eda840b3a59db1baba961660d25
1,16,WhiterunDragonsreach,WindhelmExterior01,8,1899.6083,74,69,0,1,16,0.0,0,"INCONCLUSIVE: same route occurrence, sequential scene/loading history differs",unavailable: selected historical columns retain no per-transition COC strict timing or render-latch value,3baaf91b90416ad25d067cdb26c34ce293cf7a5e,5c8dfa4c9f482d14faf6cf82e06455724d317eda840b3a59db1baba961660d25
1,17,WindhelmExterior01,WhiterunDragonsreach,9,2952.6132,30,22,0,1,17,0.0,0,"INCONCLUSIVE: same route occurrence, sequential scene/loading history differs",unavailable: selected historical columns retain no per-transition COC strict timing or render-latch value,3baaf91b90416ad25d067cdb26c34ce293cf7a5e,5c8dfa4c9f482d14faf6cf82e06455724d317eda840b3a59db1baba961660d25
1,18,WhiterunDragonsreach,WindhelmExterior01,9,1902.4786,75,71,0,1,18,0.0,0,"INCONCLUSIVE: same route occurrence, sequential scene/loading history differs",unavailable: selected historical columns retain no per-transition COC strict timing or render-latch value,3baaf91b90416ad25d067cdb26c34ce293cf7a5e,5c8dfa4c9f482d14faf6cf82e06455724d317eda840b3a59db1baba961660d25
1,19,WindhelmExterior01,WhiterunDragonsreach,10,2457.0522,31,23,0,1,19,0.0,0,"INCONCLUSIVE: same route occurrence, sequential scene/loading history differs",unavailable: selected historical columns retain no per-transition COC strict timing or render-latch value,3baaf91b90416ad25d067cdb26c34ce293cf7a5e,5c8dfa4c9f482d14faf6cf82e06455724d317eda840b3a59db1baba961660d25
1,20,WhiterunDragonsreach,WindhelmExterior01,10,1976.287,76,69,1,1,20,0.0,0,"INCONCLUSIVE: same route occurrence, sequential scene/loading history differs",unavailable: selected historical columns retain no per-transition COC strict timing or render-latch value,3baaf91b90416ad25d067cdb26c34ce293cf7a5e,5c8dfa4c9f482d14faf6cf82e06455724d317eda840b3a59db1baba961660d25
2,1,WindhelmExterior01,WhiterunDragonsreach,1,2779.2032,31,23,0,1,1,-3605.0797000000002,6,"INCONCLUSIVE: same route occurrence, sequential scene/loading history differs",unavailable: selected historical columns retain no per-transition COC strict timing or render-latch value,3baaf91b90416ad25d067cdb26c34ce293cf7a5e,5c8dfa4c9f482d14faf6cf82e06455724d317eda840b3a59db1baba961660d25
2,2,WhiterunDragonsreach,WindhelmExterior01,1,1994.959,69,66,1,1,2,-50.59929999999986,14,"INCONCLUSIVE: same route occurrence, sequential scene/loading history differs",unavailable: selected historical columns retain no per-transition COC strict timing or render-latch value,3baaf91b90416ad25d067cdb26c34ce293cf7a5e,5c8dfa4c9f482d14faf6cf82e06455724d317eda840b3a59db1baba961660d25
2,3,WindhelmExterior01,WhiterunDragonsreach,2,3190.8902,27,18,0,1,3,584.9460999999997,-3,"INCONCLUSIVE: same route occurrence, sequential scene/loading history differs",unavailable: selected historical columns retain no per-transition COC strict timing or render-latch value,3baaf91b90416ad25d067cdb26c34ce293cf7a5e,5c8dfa4c9f482d14faf6cf82e06455724d317eda840b3a59db1baba961660d25
2,4,WhiterunDragonsreach,WindhelmExterior01,2,2095.3816,73,65,1,1,4,144.65460000000007,1,"INCONCLUSIVE: same route occurrence, sequential scene/loading history differs",unavailable: selected historical columns retain no per-transition COC strict timing or render-latch value,3baaf91b90416ad25d067cdb26c34ce293cf7a5e,5c8dfa4c9f482d14faf6cf82e06455724d317eda840b3a59db1baba961660d25
2,5,WindhelmExterior01,WhiterunDragonsreach,3,2510.6717,32,23,0,1,5,-270.05740000000014,2,"INCONCLUSIVE: same route occurrence, sequential scene/loading history differs",unavailable: selected historical columns retain no per-transition COC strict timing or render-latch value,3baaf91b90416ad25d067cdb26c34ce293cf7a5e,5c8dfa4c9f482d14faf6cf82e06455724d317eda840b3a59db1baba961660d25
2,6,WhiterunDragonsreach,WindhelmExterior01,3,2077.5036,73,65,1,1,6,158.94299999999998,4,"INCONCLUSIVE: same route occurrence, sequential scene/loading history differs",unavailable: selected historical columns retain no per-transition COC strict timing or render-latch value,3baaf91b90416ad25d067cdb26c34ce293cf7a5e,5c8dfa4c9f482d14faf6cf82e06455724d317eda840b3a59db1baba961660d25
2,7,WindhelmExterior01,WhiterunDragonsreach,4,2508.9946,32,23,0,1,7,-175.7555000000002,0,"INCONCLUSIVE: same route occurrence, sequential scene/loading history differs",unavailable: selected historical columns retain no per-transition COC strict timing or render-latch value,3baaf91b90416ad25d067cdb26c34ce293cf7a5e,5c8dfa4c9f482d14faf6cf82e06455724d317eda840b3a59db1baba961660d25
2,8,WhiterunDragonsreach,WindhelmExterior01,4,2114.4214,74,69,1,1,8,203.20740000000023,0,"INCONCLUSIVE: same route occurrence, sequential scene/loading history differs",unavailable: selected historical columns retain no per-transition COC strict timing or render-latch value,3baaf91b90416ad25d067cdb26c34ce293cf7a5e,5c8dfa4c9f482d14faf6cf82e06455724d317eda840b3a59db1baba961660d25
2,9,WindhelmExterior01,WhiterunDragonsreach,5,2641.6761,29,21,0,1,9,98.14190000000008,-1,"INCONCLUSIVE: same route occurrence, sequential scene/loading history differs",unavailable: selected historical columns retain no per-transition COC strict timing or render-latch value,3baaf91b90416ad25d067cdb26c34ce293cf7a5e,5c8dfa4c9f482d14faf6cf82e06455724d317eda840b3a59db1baba961660d25
2,10,WhiterunDragonsreach,WindhelmExterior01,5,2018.2328,69,63,1,1,10,33.69769999999994,-1,"INCONCLUSIVE: same route occurrence, sequential scene/loading history differs",unavailable: selected historical columns retain no per-transition COC strict timing or render-latch value,3baaf91b90416ad25d067cdb26c34ce293cf7a5e,5c8dfa4c9f482d14faf6cf82e06455724d317eda840b3a59db1baba961660d25
2,11,WindhelmExterior01,WhiterunDragonsreach,6,2659.4221,32,23,0,1,11,123.73489999999993,1,"INCONCLUSIVE: same route occurrence, sequential scene/loading history differs",unavailable: selected historical columns retain no per-transition COC strict timing or render-latch value,3baaf91b90416ad25d067cdb26c34ce293cf7a5e,5c8dfa4c9f482d14faf6cf82e06455724d317eda840b3a59db1baba961660d25
2,12,WhiterunDragonsreach,WindhelmExterior01,6,1992.3642,70,64,1,1,12,16.450800000000072,-6,"INCONCLUSIVE: same route occurrence, sequential scene/loading history differs",unavailable: selected historical columns retain no per-transition COC strict timing or render-latch value,3baaf91b90416ad25d067cdb26c34ce293cf7a5e,5c8dfa4c9f482d14faf6cf82e06455724d317eda840b3a59db1baba961660d25
2,13,WindhelmExterior01,WhiterunDragonsreach,7,3140.0462,31,22,0,1,13,519.2305000000001,2,"INCONCLUSIVE: same route occurrence, sequential scene/loading history differs",unavailable: selected historical columns retain no per-transition COC strict timing or render-latch value,3baaf91b90416ad25d067cdb26c34ce293cf7a5e,5c8dfa4c9f482d14faf6cf82e06455724d317eda840b3a59db1baba961660d25
2,14,WhiterunDragonsreach,WindhelmExterior01,7,1978.6229,72,67,1,1,14,11.035900000000083,3,"INCONCLUSIVE: same route occurrence, sequential scene/loading history differs",unavailable: selected historical columns retain no per-transition COC strict timing or render-latch value,3baaf91b90416ad25d067cdb26c34ce293cf7a5e,5c8dfa4c9f482d14faf6cf82e06455724d317eda840b3a59db1baba961660d25
2,15,WindhelmExterior01,WhiterunDragonsreach,8,2661.2142,32,22,0,1,15,201.87469999999985,0,"INCONCLUSIVE: same route occurrence, sequential scene/loading history differs",unavailable: selected historical columns retain no per-transition COC strict timing or render-latch value,3baaf91b90416ad25d067cdb26c34ce293cf7a5e,5c8dfa4c9f482d14faf6cf82e06455724d317eda840b3a59db1baba961660d25
2,16,WhiterunDragonsreach,WindhelmExterior01,8,2105.5785,74,67,1,1,16,205.97019999999998,-2,"INCONCLUSIVE: same route occurrence, sequential scene/loading history differs",unavailable: selected historical columns retain no per-transition COC strict timing or render-latch value,3baaf91b90416ad25d067cdb26c34ce293cf7a5e,5c8dfa4c9f482d14faf6cf82e06455724d317eda840b3a59db1baba961660d25
2,17,WindhelmExterior01,WhiterunDragonsreach,9,2732.2578,32,24,0,1,17,-220.35539999999992,2,"INCONCLUSIVE: same route occurrence, sequential scene/loading history differs",unavailable: selected historical columns retain no per-transition COC strict timing or render-latch value,3baaf91b90416ad25d067cdb26c34ce293cf7a5e,5c8dfa4c9f482d14faf6cf82e06455724d317eda840b3a59db1baba961660d25
2,18,WhiterunDragonsreach,WindhelmExterior01,9,1990.9851,75,71,1,1,18,88.50650000000019,0,"INCONCLUSIVE: same route occurrence, sequential scene/loading history differs",unavailable: selected historical columns retain no per-transition COC strict timing or render-latch value,3baaf91b90416ad25d067cdb26c34ce293cf7a5e,5c8dfa4c9f482d14faf6cf82e06455724d317eda840b3a59db1baba961660d25
2,19,WindhelmExterior01,WhiterunDragonsreach,10,2551.1707,32,22,0,1,19,94.11850000000004,-1,"INCONCLUSIVE: same route occurrence, sequential scene/loading history differs",unavailable: selected historical columns retain no per-transition COC strict timing or render-latch value,3baaf91b90416ad25d067cdb26c34ce293cf7a5e,5c8dfa4c9f482d14faf6cf82e06455724d317eda840b3a59db1baba961660d25
2,20,WhiterunDragonsreach,WindhelmExterior01,10,1986.1293,70,67,1,1,20,9.842300000000023,-2,"INCONCLUSIVE: same route occurrence, sequential scene/loading history differs",unavailable: selected historical columns retain no per-transition COC strict timing or render-latch value,3baaf91b90416ad25d067cdb26c34ce293cf7a5e,5c8dfa4c9f482d14faf6cf82e06455724d317eda840b3a59db1baba961660d25
2,21,WindhelmExterior01,WhiterunDragonsreach,11,2622.3009,33,24,0,1,,,,UNMATCHED: run1 has only ten occurrences of each route,unavailable: selected historical columns retain no per-transition COC strict timing or render-latch value,3baaf91b90416ad25d067cdb26c34ce293cf7a5e,5c8dfa4c9f482d14faf6cf82e06455724d317eda840b3a59db1baba961660d25
2,22,WhiterunDragonsreach,WindhelmExterior01,11,1965.3847,71,65,1,1,,,,UNMATCHED: run1 has only ten occurrences of each route,unavailable: selected historical columns retain no per-transition COC strict timing or render-latch value,3baaf91b90416ad25d067cdb26c34ce293cf7a5e,5c8dfa4c9f482d14faf6cf82e06455724d317eda840b3a59db1baba961660d25
2,23,WindhelmExterior01,WhiterunDragonsreach,12,2926.3639,31,23,0,1,,,,UNMATCHED: run1 has only ten occurrences of each route,unavailable: selected historical columns retain no per-transition COC strict timing or render-latch value,3baaf91b90416ad25d067cdb26c34ce293cf7a5e,5c8dfa4c9f482d14faf6cf82e06455724d317eda840b3a59db1baba961660d25
2,24,WhiterunDragonsreach,WindhelmExterior01,12,2019.2105,64,60,1,1,,,,UNMATCHED: run1 has only ten occurrences of each route,unavailable: selected historical columns retain no per-transition COC strict timing or render-latch value,3baaf91b90416ad25d067cdb26c34ce293cf7a5e,5c8dfa4c9f482d14faf6cf82e06455724d317eda840b3a59db1baba961660d25
2,25,WindhelmExterior01,WhiterunDragonsreach,13,2758.4737,32,23,0,1,,,,UNMATCHED: run1 has only ten occurrences of each route,unavailable: selected historical columns retain no per-transition COC strict timing or render-latch value,3baaf91b90416ad25d067cdb26c34ce293cf7a5e,5c8dfa4c9f482d14faf6cf82e06455724d317eda840b3a59db1baba961660d25
3,1,WhiterunDragonsreach,WindhelmExterior01,1,2258.2745,76,62,1,1,2,212.71620000000007,10,"INCONCLUSIVE: same route occurrence, sequential scene/loading history differs",unavailable: selected historical columns retain no per-transition COC strict timing or render-latch value,3baaf91b90416ad25d067cdb26c34ce293cf7a5e,5c8dfa4c9f482d14faf6cf82e06455724d317eda840b3a59db1baba961660d25
3,2,WindhelmExterior01,WhiterunDragonsreach,1,2655.0809,29,22,0,1,1,-3729.202,5,"INCONCLUSIVE: same route occurrence, sequential scene/loading history differs",unavailable: selected historical columns retain no per-transition COC strict timing or render-latch value,3baaf91b90416ad25d067cdb26c34ce293cf7a5e,5c8dfa4c9f482d14faf6cf82e06455724d317eda840b3a59db1baba961660d25
3,3,WhiterunDragonsreach,WindhelmExterior01,2,2108.4137,66,61,1,1,4,157.68669999999997,-3,"INCONCLUSIVE: same route occurrence, sequential scene/loading history differs",unavailable: selected historical columns retain no per-transition COC strict timing or render-latch value,3baaf91b90416ad25d067cdb26c34ce293cf7a5e,5c8dfa4c9f482d14faf6cf82e06455724d317eda840b3a59db1baba961660d25
3,4,WindhelmExterior01,WhiterunDragonsreach,2,2554.501,29,21,0,1,3,-51.44309999999996,0,"INCONCLUSIVE: same route occurrence, sequential scene/loading history differs",unavailable: selected historical columns retain no per-transition COC strict timing or render-latch value,3baaf91b90416ad25d067cdb26c34ce293cf7a5e,5c8dfa4c9f482d14faf6cf82e06455724d317eda840b3a59db1baba961660d25
3,5,WhiterunDragonsreach,WindhelmExterior01,3,2076.798,70,63,1,1,6,158.23739999999975,2,"INCONCLUSIVE: same route occurrence, sequential scene/loading history differs",unavailable: selected historical columns retain no per-transition COC strict timing or render-latch value,3baaf91b90416ad25d067cdb26c34ce293cf7a5e,5c8dfa4c9f482d14faf6cf82e06455724d317eda840b3a59db1baba961660d25
3,6,WindhelmExterior01,WhiterunDragonsreach,3,2480.6085,31,22,0,1,5,-300.1206000000002,1,"INCONCLUSIVE: same route occurrence, sequential scene/loading history differs",unavailable: selected historical columns retain no per-transition COC strict timing or render-latch value,3baaf91b90416ad25d067cdb26c34ce293cf7a5e,5c8dfa4c9f482d14faf6cf82e06455724d317eda840b3a59db1baba961660d25
3,7,WhiterunDragonsreach,WindhelmExterior01,4,1980.643,67,63,1,1,8,69.42900000000009,-6,"INCONCLUSIVE: same route occurrence, sequential scene/loading history differs",unavailable: selected historical columns retain no per-transition COC strict timing or render-latch value,3baaf91b90416ad25d067cdb26c34ce293cf7a5e,5c8dfa4c9f482d14faf6cf82e06455724d317eda840b3a59db1baba961660d25
3,8,WindhelmExterior01,WhiterunDragonsreach,4,2498.0143,30,22,0,1,7,-186.73580000000038,-1,"INCONCLUSIVE: same route occurrence, sequential scene/loading history differs",unavailable: selected historical columns retain no per-transition COC strict timing or render-latch value,3baaf91b90416ad25d067cdb26c34ce293cf7a5e,5c8dfa4c9f482d14faf6cf82e06455724d317eda840b3a59db1baba961660d25
3,9,WhiterunDragonsreach,WindhelmExterior01,5,2098.9033,69,61,1,1,10,114.36819999999989,-3,"INCONCLUSIVE: same route occurrence, sequential scene/loading history differs",unavailable: selected historical columns retain no per-transition COC strict timing or render-latch value,3baaf91b90416ad25d067cdb26c34ce293cf7a5e,5c8dfa4c9f482d14faf6cf82e06455724d317eda840b3a59db1baba961660d25
3,10,WindhelmExterior01,WhiterunDragonsreach,5,2555.9984,30,21,0,1,9,12.464199999999892,-1,"INCONCLUSIVE: same route occurrence, sequential scene/loading history differs",unavailable: selected historical columns retain no per-transition COC strict timing or render-latch value,3baaf91b90416ad25d067cdb26c34ce293cf7a5e,5c8dfa4c9f482d14faf6cf82e06455724d317eda840b3a59db1baba961660d25
3,11,WhiterunDragonsreach,WindhelmExterior01,6,2107.2645,68,60,1,1,12,131.35110000000032,-10,"INCONCLUSIVE: same route occurrence, sequential scene/loading history differs",unavailable: selected historical columns retain no per-transition COC strict timing or render-latch value,3baaf91b90416ad25d067cdb26c34ce293cf7a5e,5c8dfa4c9f482d14faf6cf82e06455724d317eda840b3a59db1baba961660d25
3,12,WindhelmExterior01,WhiterunDragonsreach,6,2644.8942,31,22,0,1,11,109.20700000000033,0,"INCONCLUSIVE: same route occurrence, sequential scene/loading history differs",unavailable: selected historical columns retain no per-transition COC strict timing or render-latch value,3baaf91b90416ad25d067cdb26c34ce293cf7a5e,5c8dfa4c9f482d14faf6cf82e06455724d317eda840b3a59db1baba961660d25
3,13,WhiterunDragonsreach,WindhelmExterior01,7,2102.033,66,60,1,1,14,134.4459999999999,-4,"INCONCLUSIVE: same route occurrence, sequential scene/loading history differs",unavailable: selected historical columns retain no per-transition COC strict timing or render-latch value,3baaf91b90416ad25d067cdb26c34ce293cf7a5e,5c8dfa4c9f482d14faf6cf82e06455724d317eda840b3a59db1baba961660d25
3,14,WindhelmExterior01,WhiterunDragonsreach,7,2597.3317,31,22,0,1,13,-23.483999999999924,2,"INCONCLUSIVE: same route occurrence, sequential scene/loading history differs",unavailable: selected historical columns retain no per-transition COC strict timing or render-latch value,3baaf91b90416ad25d067cdb26c34ce293cf7a5e,5c8dfa4c9f482d14faf6cf82e06455724d317eda840b3a59db1baba961660d25
3,15,WhiterunDragonsreach,WindhelmExterior01,8,1964.7373,69,65,1,1,16,65.1289999999999,-4,"INCONCLUSIVE: same route occurrence, sequential scene/loading history differs",unavailable: selected historical columns retain no per-transition COC strict timing or render-latch value,3baaf91b90416ad25d067cdb26c34ce293cf7a5e,5c8dfa4c9f482d14faf6cf82e06455724d317eda840b3a59db1baba961660d25
3,16,WindhelmExterior01,WhiterunDragonsreach,8,2659.9911,29,21,0,1,15,200.65160000000014,-1,"INCONCLUSIVE: same route occurrence, sequential scene/loading history differs",unavailable: selected historical columns retain no per-transition COC strict timing or render-latch value,3baaf91b90416ad25d067cdb26c34ce293cf7a5e,5c8dfa4c9f482d14faf6cf82e06455724d317eda840b3a59db1baba961660d25
3,17,WhiterunDragonsreach,WindhelmExterior01,9,1980.232,67,63,1,1,18,77.75340000000006,-8,"INCONCLUSIVE: same route occurrence, sequential scene/loading history differs",unavailable: selected historical columns retain no per-transition COC strict timing or render-latch value,3baaf91b90416ad25d067cdb26c34ce293cf7a5e,5c8dfa4c9f482d14faf6cf82e06455724d317eda840b3a59db1baba961660d25
3,18,WindhelmExterior01,WhiterunDragonsreach,9,2498.9553,31,24,0,1,17,-453.6578999999997,2,"INCONCLUSIVE: same route occurrence, sequential scene/loading history differs",unavailable: selected historical columns retain no per-transition COC strict timing or render-latch value,3baaf91b90416ad25d067cdb26c34ce293cf7a5e,5c8dfa4c9f482d14faf6cf82e06455724d317eda840b3a59db1baba961660d25
3,19,WhiterunDragonsreach,WindhelmExterior01,10,1995.8987,70,65,1,1,20,19.611699999999928,-4,"INCONCLUSIVE: same route occurrence, sequential scene/loading history differs",unavailable: selected historical columns retain no per-transition COC strict timing or render-latch value,3baaf91b90416ad25d067cdb26c34ce293cf7a5e,5c8dfa4c9f482d14faf6cf82e06455724d317eda840b3a59db1baba961660d25
3,20,WindhelmExterior01,WhiterunDragonsreach,10,2625.7082,32,23,0,1,19,168.65599999999995,0,"INCONCLUSIVE: same route occurrence, sequential scene/loading history differs",unavailable: selected historical columns retain no per-transition COC strict timing or render-latch value,3baaf91b90416ad25d067cdb26c34ce293cf7a5e,5c8dfa4c9f482d14faf6cf82e06455724d317eda840b3a59db1baba961660d25
