run,save,frames,recordedFpsMedian,cadenceMedianMs,cadence8to9MsPercent,cadence16to17p5MsPercent,cpuMeanMs,gpuMeanMs,cpuP99Ms,cpuSingleSpikesPerSecond,cpuSpikeEventsPerSecond
Balanced 4,12,960,96.6,8.333800089530996,82.48175182481752,10.114702815432743,8.759,8.797,14.641,8.9,15.2
Balanced 4,10,975,98.0,8.333199855314888,79.15811088295688,18.68583162217659,6.175,8.494,10.426,14.9,20.0
Balanced 4,13,561,56.0,16.66469977453744,0.0,93.03571428571429,19.693,13.128,29.6,0.2,3.7
Legacy 2,08,600,60.0,16.664300001139054,0.0,100.0,5.768,9.828,7.413,0.0,0.1
Legacy 2,11,1081,111.0,8.332599674758967,91.94444444444444,5.092592592592593,8.238,8.082,14.38,4.0,8.9
Legacy 2,09,1089,109.0,8.333000075253949,90.625,8.547794117647058,5.919,7.868,10.2,0.3,10.3
Legacy 2,12,913,91.0,8.334000330251001,82.01754385964912,4.714912280701754,9.048,8.866,14.3,7.9,13.6
Legacy 2,10,1039,104.0,8.333699895047175,84.58574181117534,15.31791907514451,5.935,8.055,10.1,6.7,15.8
Legacy 2,13,572,57.0,16.66460003980319,0.0,94.92119089316988,18.174,12.429,28.2,0.4,3.4
Depth off,08,573,58.5,16.66459974967438,0.0,95.1048951048951,16.635,11.687,25.5,0.4,2.9
Depth off,11,685,68.6,16.661899899190757,26.461988304093566,72.07602339181287,9.88,9.67,17.7,7.8,13.2
Depth off,09,980,98.0,8.333400101037114,84.98467824310521,7.558733401430031,6.539,8.248,10.7,6.1,14.5
Depth off,12,599,60.0,16.664299999320065,0.0,99.66555183946488,9.797,10.503,16.02,3.7,5.2
Depth off,10,600,60.0,16.664499900798546,0.0,100.0,5.421,9.525,6.3,0.1,0.2
Depth off,13,460,46.8,16.668600099364994,0.0,67.3202614379085,23.058,16.67,34.2,6.9,12.8
RC166 repeat 1,08,654,65.6,16.663599999446888,16.998468606431853,82.54211332312404,7.526,9.341,13.8,3.6,11.2
RC166 repeat 1,11,875,89.8,8.337549999851035,64.18764302059496,34.55377574370709,9.005,8.523,16.456,21.0,22.6
RC166 repeat 1,09,1094,109.9,8.332700002938509,90.9423604757548,8.508691674290942,6.727,7.792,11.3,1.8,10.6
RC166 repeat 1,12,875,88.0,8.336549850355368,65.56064073226544,31.69336384439359,8.503,8.849,14.978,19.6,22.0
RC166 repeat 1,10,882,88.0,8.338799998455215,64.1316685584563,35.75482406356413,7.654,8.837,12.019,22.8,23.4
RC166 repeat 1,13,568,57.5,16.664700200635707,0.0,93.82716049382717,17.027,12.595,27.733,0.6,4.1
RC166 repeat 2,08,662,67.0,16.663199698086828,19.818456883509832,79.27382753403933,7.77,9.385,18.278,7.2,12.7
RC166 repeat 2,11,1017,104.0,8.333499999935157,82.48031496062993,17.02755905511811,8.224,8.122,15.284,10.3,17.2
RC166 repeat 2,09,1092,110.0,8.332600100402487,91.6590284142988,6.782768102658112,6.417,7.778,10.809,0.9,9.3
RC166 repeat 2,12,675,67.0,8.336549950399785,60.23738872403561,2.077151335311573,6.705,9.267,12.1,8.3,10.1
RC166 repeat 2,10,945,95.0,8.334850099345203,74.04661016949153,25.0,7.235,8.626,11.6,19.3,22.9
RC166 repeat 2,13,588,59.0,16.664499999023974,0.0,97.61499148211243,11.466,11.726,24.839,1.7,3.5
RC166 repeat 3,08,663,66.6,16.66345010198711,19.184290030211482,80.66465256797584,7.38,9.356,13.914,5.2,11.8
RC166 repeat 3,11,1037,105.0,8.333299851074116,85.03861003861005,14.18918918918919,8.046,8.014,14.428,6.5,14.7
RC166 repeat 3,09,1106,111.0,8.332599900313653,92.03619909502262,7.420814479638009,6.542,7.746,10.8,1.0,9.2
RC166 repeat 3,12,854,85.7,8.334299702255521,69.75381008206331,20.046893317702228,8.007,9.005,14.3,15.0,19.1
RC166 repeat 3,10,939,95.0,8.334300098795211,74.84008528784648,22.601279317697227,7.184,8.639,11.662,16.8,21.6
RC166 repeat 3,13,591,59.5,16.664300250340602,0.0,98.13559322033899,11.025,11.818,25.62,3.4,4.3
